Marca temporal,ï¿½En que segmento te encuentras segun tu edad?,ï¿En que estacion te gusta salir de vacaciones generalmente?,Generalmente planeas tus vacaciones con: Pareja/Amigos/Solo/Familia,ï¿½Que es lo que mas te gusta hacer en tus vacaciones?,ï¿½Que tipo de de actividades te gustan para hacer turismo??,ï¿½Que tipo de deporte te gusta practicar en tus vacaciones?,ï¿½Que prefieres hacer cuando sales en tus vacaciones?,ï¿½Como te gusta pasar tu tiempo libre en tus vacaciones?,ï¿½Que prefieres a la hora de salir a comer o tomar algo?,"Si tuvieras que elegir, tus promas vacaciones serian en:",ï¿½Cual de estos destinos de Argentina elegirias segun las respuestas dadas anteriormente?
2022/02/14 6:41:54 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Pareja,Deportes / Aventura;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking;Deportes extremos (Escalada / Parapente / Alpinismo );Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Lo decido en el momento segun me parece",En otono / primavera en una capital o ciudad grande,Mendoza - Excepto invierno
2022/02/14 8:12:23 p.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Verano,"Sola, y si alguien se suma mejor!",Hacer turismo en el destino vacacional;Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,No salgo mucho por la noche;Pasear por el lugar y cenar.,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con playa,Cordoba - Primavera/Verano
2022/02/14 9:35:37 p.ï¿½m. GMT-3,Menos de 25 aï¿½os,Todas las amo ,Amigos y pareja ,Todo ,Conocer mayormente el destino por cuenta propia,Deportes extremos (Escalada / Parapente / Alpinismo ),Discoteca,"Disfrutar de la naturaleza, playa, parque,montana, etc",Lo decido en el momento segun me parece,En verano en un destino con playa,Cordoba - Primavera/Verano
2022/02/15 4:15:06 a.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Amigos,Deportes / Aventura;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Recorrer solo los puntos de interes del destino;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo;Deportes extremos;futbol,Bar;Concierto o musica en vivo;Fiestas,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);busco comentarios en Google Maps / TripAdvisor/ Kayak / etc;Comer algo al paso / Llevar para comer en donde yo quiera",En verano en un destino con playa,Cordoba - Primavera/Verano
2022/02/15 7:43:31 a.ï¿½m. GMT-3,Mï¿½s de 45 aï¿½os,Verano,Familia,Relajarse;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,No hago deportes en vacaciones,Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con playa,Mar del Plata -  En verano
2022/02/15 9:24:41 a.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Deportes / Aventura;Hacer turismo en el destino vacacional,Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo o Trekking;Surf,Discoteca;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas",Lo decido en el momento segun me parece,En verano en un destino con playa,Mar del Plata -  En verano
2022/02/15 9:25:35 a.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Temporadas intermedias ( Otono / Primavera),Depende de lugar y la ocasiï¿½n ,Hacer turismo en el destino;Salir a comer,Conocer el destino por mi cuenta;Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo",Todas las anteriores ,Cordoba - Primavera/Verano
2022/02/15 11:47:07 a.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Deportes / Aventura,Conocer mayormente el destino por cuenta propia;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo o Trekking;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Bar;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En otono / primavera en una capital o ciudad grande,Mendoza - Excepto invierno
2022/02/15 12:27:39 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Temporadas intermedias ( Otono / Primavera),Pareja,Disfrutar de la gastronomia,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Senderismo o Trekking;Ski / Snowboard;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),Bar;Concierto o musica en vivo,"Disfrutar de la naturaleza, playa, parque,montana, etc;Dia de spa/sauna/masajes","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;busco comentarios en Google Maps / TripAdvisor/ Kayak / etc",En Invierno un destino con estacion de ski,Bariloche - En invierno
2022/02/15 1:00:06 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,Senderismo o Trekking,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/02/15 3:09:26 p.ï¿½m. GMT-3,Mï¿½s de 45 aï¿½os,Temporadas intermedias ( Otono / Primavera),con pareja,Hacer turismo en el destino vacacional,Disfrutar y recorrer tranquilamente,Senderismo o Trekking;Running,Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",verano destino con playa,Mar del Plata
2022/02/16 9:23:04 a.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Indiferente,Familia,Relajarse;Hacer turismo en el destino vacacional,Solo alguna excursion especifica;Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas",Lo decido en el momento segun me parece;busco comentarios en Google Maps / TripAdvisor/ Kayak / etc,En Invierno un destino con estacion de ski,Bariloche - En invierno
2022/02/18 8:23:47 a.ï¿½m. GMT-3,Mï¿½s de 45 aï¿½os,Indiferente,Amigos,Hacer turismo en el destino vacacional,Conocer mayormente el destino,Senderismo o Trekking,Concierto o musica en vivo,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con montana y naturaleza,Mar del Plata -  En verano
2022/02/21 8:16:03 a.ï¿½m. GMT-3,Entre 35 y 44 aï¿½os,Indiferente,Familia,Hacer turismo en el destino vacacional,Conocer el destino por cuenta propia;Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo o Trekking;Running;Deportes acuaticos (Kitesurf / windsurf / Parasailing / Standup Paddle / Kayak / Rafting),No salgo mucho por la noche,"Disfrutar de la naturaleza, playa, parque,montana, etc;Aprovechar del alojamiento y salir cuando tienes ganas",Lo decido en el momento segun me parece;busco comentarios en Google Maps / TripAdvisor/ Kayak / etc,En Invierno un destino con estacion de ski,Bariloche - En invierno
2022/02/21 2:03:37 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Pareja,Relajarse;Deportes / Aventura,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,Senderismo o Trekking,Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con playa,Mar del Plata -  En verano
2022/02/21 2:04:38 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Amigos,Disfrutar de la gastronomia,Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En primavera en una ciudad grande,Mendoza - Excepto invierno
2022/02/21 2:05:20 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Disfrutar de la gastronomia,Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,Discoteca;Bar;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En verano en un destino con playa,Mar del Plata -  En verano
2022/02/21 2:07:41 p.ï¿½m. GMT-3,Menos de 25 aï¿½os,Verano,Amigos,Salidas nocturnas;Hacer turismo en el destino vacacional,Recorrer solo los puntos de interes del destino;Ir a Festivales o Eventos si hubiera en esa fecha,No hago deportes en vacaciones,Discoteca;Concierto o musica en vivo;Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);busco comentarios en Google Maps / TripAdvisor/ Kayak / etc",En verano en un destino con montana y naturaleza,Mar del Plata -  En verano
2022/02/21 2:07:44 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Salidas nocturnas,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Running,Bar;Concierto o musica en vivo;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece,En verano en un destino con playa,Mendoza - Excepto invierno
2022/02/21 2:09:38 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Salidas nocturnas;Disfrutar de la gastronomia,Disfrutar y recorrer tranquilamente;Ir a Festivales o Eventos si hubiera en esa fecha,Deportes extremos,Bar;Concierto o musica en vivo;Festivales en destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Ir a tomar algo solamente;Lo decido en el momento segun me parece,En verano en un destino con playa,Mar del Plata -  En verano
2022/02/21 2:25:08 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Amigos,Salidas nocturnas;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia,Surf,Discoteca;Bar;Fogata nocturna,"Disfrutar de la naturaleza, playa, parque,montana, etc",Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece,En verano en un destino con montana y naturaleza,Mendoza - Excepto invierno
2022/02/21 2:34:28 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Familia,Relajarse;Hacer turismo en el destino vacacional,Conocer mayormente el destino por cuenta propia;Disfrutar y recorrer tranquilamente,Senderismo o Trekking,Discoteca;Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc);Tomar un aperitivo y picar algo;Lo decido en el momento segun me parece",En verano en un destino con montana y naturaleza,Cordoba - Primavera/Verano
2022/02/21 2:45:27 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Verano,Amigos,Relajarse;Disfrutar de la gastronomia,Disfrutar y recorrer tranquilamente,Ski / Snowboard,Bar,"Disfrutar de la naturaleza, playa, parque,montana, etc",Lo decido en el momento segun me parece,En verano en un destino con playa,Bariloche - En invierno
2022/02/21 3:23:22 p.ï¿½m. GMT-3,Entre 25 y 34 aï¿½os,Indiferente,Amigos,Salidas nocturnas;Hacer turismo en el destino vacacional,Disfrutar y recorrer tranquilamente,No hago deportes en vacaciones,Fiestas o Festivales del destino si hay en esa fecha,"Disfrutar de la naturaleza, playa, parque,montana, etc","Restaurante tipico del destino (con sus platos, tragos, etc)",En verano en un destino con playa,Mendoza - Excepto invierno
